Fecha,Servicio,Instalacion,Usos
"2008-06-01","Transporte","TC-Tarifa Empleado Emtusa","408"
"2008-06-01","Transporte","TC-Tarifa Familiar Emtusa","9526"
"2008-06-01","Transporte","TC-Tarifa Gratuita","25436"
"2008-06-01","Transporte","TC-Tarifa IES","2156"
"2008-06-01","Transporte","TC-Tarifa JOP","902"
"2008-06-01","Transporte","TC-Tarifa Mayores de 65","151380"
"2008-06-01","Transporte","TC-Tarifa Menores de 13","50371"
"2008-06-01","Transporte","TC-Tarifa Menores de 26","95840"
"2008-06-01","Transporte","TC-Tarifa Normal","275768"
"2008-06-01","Transporte","TC-Tarifa Reducida","25017"
"2008-06-01","Transporte","TT-Tarifa Normal","255218"
"2008-07-01","Cimadevilla Centro Control","Campo Valdés","421"
"2008-07-01","Cimadevilla Centro Control","Fermín García Bernardo","375"
"2008-07-01","Cimadevilla con Tarjeta","Campo Valdés","2676"
"2008-07-01","Cimadevilla con Tarjeta","Fermín García Bernardo","2602"
"2008-07-01","Cimadevilla Taxi","Campo Valdés","537"
"2008-07-01","Cimadevilla Taxi","Fermín García Bernardo","421"
"2008-07-01","Gijón Bici","Gijón Bici","4331"
"2008-07-01","Instalaciones Deportivas","Instalaciones Deportivas","7252"
"2008-07-01","Mediatecas","Adultos","9260"
"2008-07-01","Mediatecas","Infantiles","594"
"2008-07-01","OIJ","Oficina Informacion Juvenil","615"
"2008-07-01","ORA","ORA","19357"
"2008-07-01","Piscinas","Piscina Coto Control","5639"
"2008-07-01","Piscinas","Piscina La Calzada Control","4369"
"2008-07-01","Piscinas","Piscina Llano Control","7714"
"2008-07-01","Piscinas","Piscina Moreda Control","4191"
"2008-07-01","Piscinas","Piscina Panchano Control","1038"
"2008-07-01","Préstamos bibliotecas","Adultos","19595"
"2008-07-01","Préstamos bibliotecas","Infantiles","3519"
"2008-07-01","Reserva de instalaciones","Antigua Pescadería","49"
"2008-07-01","Reserva de instalaciones","Casa Consistorial","18"
"2008-07-01","Reserva de instalaciones","Complejo Deportivo El Llano - Contrueces","1020"
"2008-07-01","Reserva de instalaciones","Complejo Deportivo La Calzada","1645"
"2008-07-01","Reserva de instalaciones","Complejo Deportivo Las Mestas","4"
"2008-07-01","Reserva de instalaciones","Complejo Deportivo Moreda - Natahoyo","454"
"2008-07-01","Reserva de instalaciones","Complejo Deportivo Pumarín - Gijón Sur","1"
"2008-07-01","Reserva de instalaciones","Gimnasios de El Molinón","4"
"2008-07-01","Reserva de instalaciones","Jardín Botánico Atlántico","2000"
"2008-07-01","Reserva de instalaciones","Pabellón de Deportes La Arena","150"
"2008-07-01","Reserva de instalaciones","Pabellón de Deportes Mata Jove","16"
"2008-07-01","Reserva de instalaciones","Pabellón de Deportes Perchera - La Braña","45"
"2008-07-01","Reserva de instalaciones","Palacio de Deportes","419"
"2008-07-01","Reserva de instalaciones","Piscina Municipal Centro Panchano","83"
"2008-07-01","Reserva de instalaciones","Piscina Municipal El Coto","584"
"2008-07-01","Reserva de instalaciones","Piscina Municipal El Llano","760"
"2008-07-01","Transporte","Tarjeta Turística","434"
"2008-07-01","Transporte","TC-Abono Anual","11555"
"2008-07-01","Transporte","TC-Abono Mes","115116"
"2008-07-01","Transporte","TC-Abono Mes Mayores de 65","16212"
"2008-07-01","Transporte","TC-Abono Mes Menores de 26","31705"
"2008-07-01","Transporte","TC-Abono Semestral","6244"
"2008-07-01","Transporte","TC-Tarifa Empleado","3301"
"2008-07-01","Transporte","TC-Tarifa Empleado Emtusa","10657"
"2008-07-01","Transporte","TC-Tarifa Gratuita","27748"
"2008-07-01","Transporte","TC-Tarifa JOP","1022"
"2008-07-01","Transporte","TC-Tarifa Mayores de 65","173724"
"2008-07-01","Transporte","TC-Tarifa Menores de 13","62644"
"2008-07-01","Transporte","TC-Tarifa Menores de 26","87558"
"2008-07-01","Transporte","TC-Tarifa Normal","311076"
"2008-07-01","Transporte","TC-Tarifa Reducida","27808"
"2008-07-01","Transporte","TT-Tarifa Normal","291317"
"2008-08-01","Cimadevilla Centro Control","Campo Valdés","393"
"2008-08-01","Cimadevilla Centro Control","Fermín García Bernardo","348"
"2008-08-01","Cimadevilla con Tarjeta","Campo Valdés","2355"
"2008-08-01","Cimadevilla con Tarjeta","Fermín García Bernardo","2578"
"2008-08-01","Cimadevilla Taxi","Campo Valdés","701"
"2008-08-01","Cimadevilla Taxi","Fermín García Bernardo","409"
"2008-08-01","Gijón Bici","Gijón Bici","5110"
"2008-08-01","Instalaciones Deportivas","Instalaciones Deportivas","6039"
"2008-08-01","Mediatecas","Adultos","9128"
"2008-08-01","Mediatecas","Infantiles","732"
"2008-08-01","OIJ","Oficina Informacion Juvenil","696"
"2008-08-01","ORA","ORA","19357"
"2008-08-01","Piscinas","Piscina La Calzada Control","1663"
"2008-08-01","Piscinas","Piscina Moreda Control","1751"
"2008-08-01","Piscinas","Piscina Panchano Control","1432"
"2008-08-01","Piscinas","Piscina Pumarin Control","7433"
"2008-08-01","Préstamos bibliotecas","Adultos","18666"
"2008-08-01","Préstamos bibliotecas","Infantiles","2901"
"2008-08-01","Reserva de instalaciones","Antigua Pescadería","119"
"2008-08-01","Reserva de instalaciones","Casa Consistorial","9"
"2008-08-01","Reserva de instalaciones","Complejo Deportivo El Llano - Contrueces","987"
"2008-08-01","Reserva de instalaciones","Complejo Deportivo La Calzada","1371"
"2008-08-01","Reserva de instalaciones","Complejo Deportivo Las Mestas","38"
"2008-08-01","Reserva de instalaciones","Complejo Deportivo Moreda - Natahoyo","154"
"2008-08-01","Reserva de instalaciones","Complejo Deportivo Pumarín - Gijón Sur","986"
"2008-08-01","Reserva de instalaciones","Jardín Botánico Atlántico","1951"
"2008-08-01","Reserva de instalaciones","Pabellón de Deportes La Arena","87"
"2008-08-01","Reserva de instalaciones","Palacio de Deportes","269"
"2008-08-01","Reserva de instalaciones","Piscina Municipal Centro Panchano","68"
"2008-08-01","Transporte","Tarjeta Turística","1226"
"2008-08-01","Transporte","TC-Abono Anual","8793"
"2008-08-01","Transporte","TC-Abono Mes","98824"
"2008-08-01","Transporte","TC-Abono Mes Mayores de 65","15990"
"2008-08-01","Transporte","TC-Abono Mes Menores de 26","26800"
"2008-08-01","Transporte","TC-Abono Semestral","4970"
"2008-08-01","Transporte","TC-Tarifa Empleado","3111"
"2008-08-01","Transporte","TC-Tarifa Empleado Emtusa","535"
"2008-08-01","Transporte","TC-Tarifa Familiar Emtusa","9445"
"2008-08-01","Transporte","TC-Tarifa Gratuita","23829"
"2008-08-01","Transporte","TC-Tarifa JOP","1023"
"2008-08-01","Transporte","TC-Tarifa Mayores de 65","172124"
"2008-08-01","Transporte","TC-Tarifa Menores de 13","53188"
"2008-08-01","Transporte","TC-Tarifa Menores de 26","77012"
"2008-08-01","Transporte","TC-Tarifa Normal","283622"
"2008-08-01","Transporte","TC-Tarifa Reducida","26417"
"2008-08-01","Transporte","TT-Tarifa Normal","263803"
"2008-09-01","Cimadevilla Centro Control","Campo Valdés","297"
"2008-09-01","Cimadevilla Centro Control","Fermín García Bernardo","261"
"2008-09-01","Cimadevilla con Tarjeta","Campo Valdés","2249"
"2008-09-01","Cimadevilla con Tarjeta","Fermín García Bernardo","2591"
"2008-09-01","Cimadevilla Taxi","Campo Valdés","544"
"2008-09-01","Cimadevilla Taxi","Fermín García Bernardo","385"
"2008-09-01","Gijón Bici","Gijón Bici","4537"
"2008-09-01","Instalaciones Deportivas","Instalaciones Deportivas","5220"
"2008-09-01","Mediatecas","Adultos","9877"
